ESTILO,DOBLILLADOR,PESPUNTADOR,PRELIMINAR,LINEA
1,56,443,1097,1
2,44,150,1027,1
3,96,285,767,1
4,32,193,876,1
5,NA,458,1834,1
6,32,64,442,1
7,60,175,925,1
8,54,371,1396,1
9,NA,537,679,1
10,NA,336,1141,1
11,162,295,1011,1
12,NA,366,1323,1
13,NA,126,528,1
14,32,64,442,1
15,32,64,442,1
16,32,114,438,1
17,30,229,958,1
18,90,202,890,1
19,66,278,1224,1
20,77,147,549,1
21,66,234,833,1
22,36,222,814,1
23,119,200,1025,1
24,32,307,1012,1
25,NA,126,528,1
26,97,182,908,1
27,NA,77,456,1
28,32,64,442,2
29,107,188,659,2
30,66,185,875,2
31,66,211,752,2
32,NA,198,506,2
33,90,105,893,2
34,36,222,814,2
35,32,128,474,2
36,43,161,800,2
37,30,134,930,2
38,69,178,722,2
39,106,169,823,2
40,53,130,598,2
41,54,262,1166,2
42,113,166,674,2
43,72,90,559,2
44,54,422,1046,2
45,90,113,721,2
46,72,171,564,2
47,NA,283,769,2
48,39,180,263,2
49,90,297,1106,2
50,88,473,734,2
51,46,90,482,2
52,91,189,799,2
53,32,96,442,2
54,72,251,702,2
55,NA,242,867,3
56,NA,341,1286,3
57,NA,540,951,3
58,NA,262,969,3
59,NA,303,684,3
60,87,359,962,3
61,NA,882,1621,3
62,NA,306,841,3
63,NA,256,1010,3
64,NA,136,671,3
65,57,268,899,3
66,107,464,1310,3
67,72,318,1023,3
68,NA,466,552,3
69,182,397,946,3
70,NA,668,746,3
71,45,306,625,3
72,79,317,624,3
73,54,430,921,3
74,112,233,552,3
75,96,447,1112,3
76,99,175,763,3
77,NA,169,378,3
78,32,64,442,3
79,32,82,464,3
80,45,72,568,3
81,98,165,858,3
82,107,317,1427,3
83,32,64,416,3
84,144,325,948,3
85,46,169,722,3
86,93,183,761,3
87,45,30,330,3
88,103,266,779,3
89,72,189,644,3
90,NA,63,331,3
91,32,64,442,3
92,32,64,442,3
93,72,521,1061,3
94,72,91,590,3
95,194,222,967,3
96,72,173,774,3
