"ESTILO","DOBLILLADOR","PESPUNTADOR","PRELIMINAR"
"1",56,443,1097
"2",44,150,1027
"3",96,285,767
"4",32,193,876
"5",NA,458,1834
"6",32,64,442
"7",60,175,925
"8",54,371,1396
"9",NA,537,679
"10",NA,336,1141
"11",162,295,1011
"12",NA,366,1323
"13",NA,126,528
"14",32,64,442
"15",32,64,442
"16",32,114,438
"17",30,229,958
"18",90,202,890
"19",66,278,1224
"20",77,147,549
"21",66,234,833
"22",36,222,814
"23",119,200,1025
"24",32,307,1012
"25",NA,126,528
"26",97,182,908
"27",NA,77,456
"28",32,64,442
"29",107,188,659
"30",66,185,875
"31",66,211,752
"32",NA,198,506
"33",90,105,893
"34",36,222,814
"35",32,128,474
"36",43,161,800
"37",30,134,930
"38",69,178,722
"39",106,169,823
"40",53,130,598
"41",54,262,1166
"42",113,166,674
"43",72,90,559
"44",54,422,1046
"45",90,113,721
"46",72,171,564
"47",NA,283,769
"48",39,180,263
"49",90,297,1106
"50",88,473,734
"51",46,90,482
"52",91,189,799
"53",32,96,442
"54",72,251,702
"55",NA,242,867
"56",NA,341,1286
"57",NA,540,951
"58",NA,262,969
"59",NA,303,684
"60",87,359,962
"61",NA,882,1621
"62",NA,306,841
"63",NA,256,1010
"64",NA,136,671
"65",57,268,899
"66",107,464,1310
"67",72,318,1023
"68",NA,466,552
"69",182,397,946
"70",NA,668,746
"71",45,306,625
"72",79,317,624
"73",54,430,921
"74",112,233,552
"75",96,447,1112
"76",99,175,763
"77",NA,169,378
"78",32,64,442
"79",32,82,464
"80",45,72,568
"81",98,165,858
"82",107,317,1427
"83",32,64,416
"84",144,325,948
"85",46,169,722
"86",93,183,761
"87",45,30,330
"88",103,266,779
"89",72,189,644
"90",NA,63,331
"91",32,64,442
"92",32,64,442
"93",72,521,1061
"94",72,91,590
"95",194,222,967
"96",72,173,774
