"ESTILO","CLIENTE","PARES.VENTA","PRONO","COLECC","FAM.ASIG","FAM.K","FAM.H"
"10300","ANDREA",600,600,"PRVE17","2",1,1
"10525","OTROS",0,0,"ATRASADO","1",1,1
"10554","PERUGIA",1349,563,"PRVE17","1",1,1
"10673","PERUGIA",573,239,"PRVE17","1",1,1
"10685","OTROS",0,0,"ATRASADO","1",1,1
"10693","PERUGIA",180,75,"PRVE17","2",1,1
"11002","OTROS",0,0,"ATRASADO","4",1,1
"11123","PERUGIA",1080,451,"PRVE17","1",1,1
"11131","PERUGIA",248,104,"PRVE17","1",1,1
"1127","OTROS",0,0,"ATRASADO","2",1,1
"11571","OTROS",0,0,"ATRASADO","1",1,1
"11933","PERUGIA",1284,536,"PRVE17","4",1,1
"12161","PERUGIA",48,20,"NA","4",1,1
"12647","PERUGIA",977,408,"PRVE17","2",1,1
"12841","PERUGIA",1549,647,"NA","2",1,1
"12842","PERUGIA",216,90,"NA","2",1,1
"12982","PERUGIA",1378,575,"PRVE17","5",1,1
"13584","PERUGIA",217,91,"PRVE16","4",1,1
"13683","OTROS",0,0,"ATRASADO","4",1,1
"14076","ANDREA",500,500,"PRVE17","2",1,1
"14862","ANDREA",0,0,"PRVE17","2",1,1
"14863","OTROS",0,0,"ATRASADO","2",1,1
"18302","ANDREA",350,350,"NA","100",1,1
"18320","ANDREA",350,350,"NA","0",1,1
"18411","ANDREA",300,300,"NA","100",1,1
"30022","OTROS",0,0,"ATRASADO","10",1,1
"50013","PERUGIA",609,254,"NA","1",1,1
"60251","PERUGIA",1381,577,"PRVE17","1",1,1
"60253","PERUGIA",379,158,"NA","2",1,1
"75015","PERUGIA",312,130,"PRVE16","2",1,1
"75017","OTROS",0,0,"ATRASADO","2",1,1
"75275","PERUGIA",32,13,"NA","4",1,1
"75277","PERUGIA",144,60,"NA","5",1,1
"8214","OTROS",0,0,"ATRASADO","2",1,1
"85081","PERUGIA",116,48,"NA","4",1,1
"90036","OTROS",0,0,"ATRASADO","1",1,1
"90081","PERUGIA",1008,421,"PRVE17","1",1,1
"95041","PERUGIA",36,15,"OTIN16","1",1,1
"95042","OTROS",0,0,"ATRASADO","1",1,1
"95161","PERUGIA",260,109,"PRVE17","4",1,1
"10302","ANDREA",200,200,"PRVE16","6",2,2
"10696","OTROS",0,0,"ATRASADO","5",2,2
"10699","PERUGIA",87,36,"PRVE17","5",2,2
"11061","PERUGIA",466,195,"PRVE17","5",2,2
