"FAMILIA","ESTILO","COLECC"
1,"30091","OTIN16"
1,"8043","OTIN16"
1,"10303","PRVE16"
1,"1525","PRVE16"
1,"30245","PRVE16"
1,"40071","PRVE16"
1,"40076","PRVE16"
1,"P5121","PRVE16"
1,"P5122","PRVE16"
1,"10551","PRVE17"
1,"10552","PRVE17"
1,"10700","PRVE17"
1,"30093","PRVE17"
1,"80267","PRVE17"
2,"95041","OTIN16"
2,"10300","PRVE16"
2,"13584","PRVE16"
2,"14076","PRVE16"
2,"60251","PRVE16"
2,"75015","PRVE16"
2,"10554","PRVE17"
2,"10673","PRVE17"
2,"10693","PRVE17"
2,"11123","PRVE17"
2,"11131","PRVE17"
2,"11973","PRVE17"
2,"12647","PRVE17"
2,"90081","PRVE17"
3,"P5101","OTIN15"
3,"30092","OTIN16"
3,"80268","OTIN16"
3,"8044","OTIN16"
3,"8053","OTIN16"
3,"10430","PRVE16"
3,"P5107","PRVE16"
4,"13681","OTIN15"
4,"11129","OTIN16"
4,"90075","OTIN16"
4,"90117","OTIN16"
4,"10302","PRVE16"
4,"11077","PRVE16"
4,"11122","PRVE16"
4,"11661","PRVE16"
4,"14574","PRVE16"
4,"1645","PRVE16"
4,"75271","PRVE16"
4,"10699","PRVE17"
4,"11061","PRVE17"
4,"11932","PRVE17"
4,"11933","PRVE17"
4,"11974","PRVE17"
4,"40074","PRVE17"
4,"90083","PRVE17"
4,"90084","PRVE17"
