LINEA,VCESTIL,PARES,FAMPESP,FAMMONT,DEPTO,FUNCION,TIEMPO,PERSONAS,META,COLEC
DSQ 100,1525,0,5,1,ARMADO,A-PESPUNTADOR,169,4.74,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,A-PRELIMINAR,340,9.43,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,APOMAZAR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,B-PESPUNTADOR,141,3.88,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,B-PRELIMINAR,230,6.4,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,C-PESPUNTADOR,30,0.83,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,C-PRELIMINAR,384,10.67,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-COR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-DOB,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-PESA,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-PESB,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-PESC,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-PREA,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-PREB,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-PREC,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CA-REB,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CARDADOR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CENTRADOR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,COMODIN CORTE,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,COMODIN MONTADO,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,COMODIN PESPUNT,36,1,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,COMODIN PREACAB,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CONFORMAR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CORTADOR FLASH,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CORTADOR FORRO,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,CORTADOR PIEL,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,DESVIRAR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,DISTRIBUIDOR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,DOBLILLADOR,27,0.75,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,DOMAR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,EMB-AVIO,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,EMBARRADOR,0,0,100,#¡REF!
DSQ 100,1525,0,5,1,ARMADO,EMPACADOR,0,0,100,#¡REF!
